phrase,order,sentence_id,language
ближайший восточный регион,adj_noun,train-s13,ru
великий отечественный война,adj_noun,train-s17,ru
советский автоматический космический станция,adj_noun,train-s21,ru
высший должностной лицо,adj_noun,train-s25,ru
высший должностной лицо,adj_noun,train-s25,ru
данный архитектурный сооружение,adj_noun,train-s28,ru
еврейский партизанский отряд,adj_noun,train-s39,ru
государственный водный реестр,adj_noun,train-s44,ru
верхнеобский бассейновый округ,adj_noun,train-s44,ru
камышевский сельский поселение,adj_noun,train-s51,ru
университетский высший географический курсы,adj_noun,train-s52,ru
государственный географический институт,adj_noun,train-s52,ru
предыдущий неполный строка,adj_noun,train-s53,ru
неполный средний школа,adj_noun,train-s60,ru
первый художественный сборник,adj_noun,train-s61,ru
ближайший населенный пункт,adj_noun,train-s79,ru
возрастной макулярный дегенерация,adj_noun,train-s91,ru
коллекционный почтовый марка,adj_noun,train-s110,ru
инопланетный космический корабль,adj_noun,train-s114,ru
южный оркнейский остров,adj_noun,train-s118,ru
добровольческий военный формирование,adj_noun,train-s126,ru
второй мировой война,adj_noun,train-s126,ru
нынешний южный жилой район,adj_noun,train-s141,ru
отечественный классический литература,adj_noun,train-s157,ru
русский художественный литература,adj_noun,train-s157,ru
белорусский государственный университет,adj_noun,train-s163,ru
американский телевизионный сценарист,adj_noun,train-s180,ru
обычный шведский ребенок,adj_noun,train-s182,ru
заключительный пленарный заседание,adj_noun,train-s185,ru
высший советский военный руководство,adj_noun,train-s186,ru
многий оккультный магический символ,adj_noun,train-s192,ru
специальный рабочий комиссия,adj_noun,train-s199,ru
великий отечественный война,adj_noun,train-s200,ru
ранний письменный свидетельство,adj_noun,train-s218,ru
древний синтетический форма,adj_noun,train-s222,ru
итоговый общий зачет,adj_noun,train-s230,ru
лучший мужской закадровый вокал,adj_noun,train-s235,ru
главный кинематографический премия,adj_noun,train-s235,ru
лучший закадровый исполнение,adj_noun,train-s235,ru
славяносербский земский управа,adj_noun,train-s247,ru
глубокий философский анализ,adj_noun,train-s256,ru
оперативный войсковой объединение,adj_noun,train-s261,ru
закавказский военный округ,adj_noun,train-s262,ru
закавказский военный округ,adj_noun,train-s262,ru
международный профессиональный теннисный турнир,adj_noun,train-s266,ru
новый 7 пластинка,adj_noun,train-s271,ru
международный технический условие,adj_noun,train-s272,ru
утрехтский мирный договор,adj_noun,train-s276,ru
амурский золотопоисковый партия,adj_noun,train-s279,ru
традиционный внутренний единство,adj_noun,train-s283,ru
советский зерноуборочный комбайн,adj_noun,train-s307,ru
другой выдающийся социолог,adj_noun,train-s319,ru
выраженный диагональный ребро,adj_noun,train-s323,ru
основной рабочий каркас,adj_noun,train-s323,ru
современный македонский литературный язык,adj_noun,train-s328,ru
известный книжный деятель,adj_noun,train-s328,ru
важный нисходящий тракт,adj_noun,train-s331,ru
значительный территориальный изменение,adj_noun,train-s334,ru
оренбургский педагогический институт,adj_noun,train-s339,ru
ранний железный век,adj_noun,train-s339,ru
крупнейший речной рукав,adj_noun,train-s342,ru
районный газовый сеть,adj_noun,train-s350,ru
заводский сельский поселение,adj_noun,train-s352,ru
крупный учебный учреждение,adj_noun,train-s360,ru
поздний исторический источник,adj_noun,train-s366,ru
xix генеральный конгрегация,adj_noun,train-s373,ru
первый современный пластинчатый теплообменник,adj_noun,train-s390,ru
особый экономический зона,adj_noun,train-s400,ru
параллельный скандинавский сказание,adj_noun,train-s406,ru
азербайджанский культурный традиция,adj_noun,train-s407,ru
съемный ортодонтический аппарат,adj_noun,train-s411,ru
первый футбольный лига,adj_noun,train-s412,ru
второй футбольный лига,adj_noun,train-s412,ru
московский военный округ,adj_noun,train-s415,ru
крупнейший частный авиакомпания,adj_noun,train-s416,ru
переходный федеральный правительство,adj_noun,train-s442,ru
мензелинский муниципальный район,adj_noun,train-s446,ru
всеобщий прямой голосование,adj_noun,train-s448,ru
великий отечественный война,adj_noun,train-s457,ru
бывший профессиональный баскетболист,adj_noun,train-s468,ru
поверхностный лимфатический сосуд,adj_noun,train-s482,ru
одинокий пожилой человек,adj_noun,train-s499,ru
специфический болотный растительность,adj_noun,train-s508,ru
крупный городской агломерация,adj_noun,train-s512,ru
еврейский антифашистский организация,adj_noun,train-s530,ru
лучший мужской роль,adj_noun,train-s532,ru
первый виртуальный собеседник,adj_noun,train-s533,ru
азербайджанский монументальный пластика,adj_noun,train-s545,ru
всемирный торговый центр,adj_noun,train-s554,ru
великий отечественный война,adj_noun,train-s558,ru
спорный пропускной пункт,adj_noun,train-s560,ru
постганглионарный нервный волокно,adj_noun,train-s566,ru
соответствующий концевой нервный аппарат,adj_noun,train-s566,ru
многий новый винокурня,adj_noun,train-s569,ru
старый административный деление,adj_noun,train-s581,ru
нетрадиционный сексуальный ориентация,adj_noun,train-s583,ru
российский футбольный клуб,adj_noun,train-s596,ru
киевский кадетский корпус,adj_noun,train-s598,ru
верховный военный власть,adj_noun,train-s601,ru
высший судебный власть,adj_noun,train-s601,ru
оппозиционный прогрессивный блок,adj_noun,train-s608,ru
первый мировой война,adj_noun,train-s613,ru
активный антикоммунистический политический деятельность,adj_noun,train-s619,ru
большой зондский остров,adj_noun,train-s625,ru
моторный речевой персеверация,adj_noun,train-s627,ru
эфферентный моторный афазия,adj_noun,train-s627,ru
отдельный учебный дисциплина,adj_noun,train-s630,ru
херсонский мореходный училище,adj_noun,train-s637,ru
первый письменный упоминание,adj_noun,train-s639,ru
киевский великий князь,adj_noun,train-s639,ru
богорский сельскохозяйственный институт,adj_noun,train-s651,ru
модный мавританский стиль,adj_noun,train-s652,ru
необходимый ударный группировка,adj_noun,train-s664,ru
третий полноформатный студийный альбом,adj_noun,train-s665,ru
младший значащий бит,adj_noun,train-s666,ru
второй мировой война,adj_noun,train-s672,ru
греческий христианский имя,adj_noun,train-s673,ru
бразильский авиаремонтный компания,adj_noun,train-s676,ru
итальянский круизный судно,adj_noun,train-s677,ru
лабораторный рабочий место,adj_noun,train-s680,ru
одиннадцатый студийный альбом,adj_noun,train-s683,ru
обычный подростковый одежда,adj_noun,train-s693,ru
португальский рыболовецкий судно,adj_noun,train-s704,ru
привычный прибрежный каботажный плавание,adj_noun,train-s704,ru
единственный достоверный свидетельство,adj_noun,train-s715,ru
венесуэльский политический деятель,adj_noun,train-s718,ru
средневековый рыцарский архитектура,adj_noun,train-s721,ru
немовичский сельский совет,adj_noun,train-s729,ru
первый европейский колония,adj_noun,train-s737,ru
предельный годовой доза,adj_noun,train-s750,ru
небольшой зажигательный бомба,adj_noun,train-s751,ru
эндогенный психический расстройство,adj_noun,train-s757,ru
большой архиерейский сад,adj_noun,train-s777,ru
различный мифологический существо,adj_noun,train-s782,ru
свежий березовый ветвь,adj_noun,train-s790,ru
новый мятежный генерал,adj_noun,train-s795,ru
второй мировой война,adj_noun,train-s795,ru
польский пехотный дивизия,adj_noun,train-s798,ru
мультиформный экссудативный эритема,adj_noun,train-s823,ru
ответный антифашистский акция,adj_noun,train-s824,ru
студийный электрический альбом,adj_noun,train-s826,ru
голландский водяной спаниель,adj_noun,train-s832,ru
хартфордский окружной прокурор,adj_noun,train-s835,ru
солнечный корональный петля,adj_noun,train-s838,ru
великий отечественный война,adj_noun,train-s843,ru
брненский политехнический институт,adj_noun,train-s844,ru
биполярный аффективный расстройство,adj_noun,train-s846,ru
прочий юэский государство,adj_noun,train-s851,ru
саратовский государственный университет,adj_noun,train-s865,ru
русский технический общество,adj_noun,train-s886,ru
международный транснациональный корпорация,adj_noun,train-s887,ru
