phrase,order,sentence_id,language
recinto penal chileno,noun_adj,es-train-001-s13,es
hoja disecto laticífero,noun_adj,es-train-001-s27,es
régimen comunista soviético,noun_adj,es-train-001-s53,es
bestia marino existente,noun_adj,es-train-001-s58,es
referente monumental relevante,noun_adj,es-train-001-s97,es
turco sunnito gaznaví,noun_adj,es-train-001-s102,es
estilo arquitectónico federal,noun_adj,es-train-001-s112,es
agua residual resultante,noun_adj,es-train-001-s116,es
conexión aéreo bimestral,noun_adj,es-train-001-s119,es
título nobiliario español,noun_adj,es-train-001-s140,es
cantante folklórico argentino,noun_adj,es-train-001-s158,es
diccionario enciclopédico popular ilustrado,noun_adj,es-train-001-s159,es
químico nuclear estadounidense,noun_adj,es-train-001-s162,es
ermita románico perteneciente,noun_adj,es-train-001-s164,es
jardín japonés tradicional,noun_adj,es-train-001-s188,es
campamento anual obligatorio,noun_adj,es-train-001-s214,es
actor cinematográfico británico,noun_adj,es-train-001-s239,es
partido nacionalsocialista danés,noun_adj,es-train-001-s271,es
red internacional mesoamericano,noun_adj,es-train-001-s287,es
sexto sencillo exitoso,noun_adj,es-train-001-s305,es
efecto ambiental negativo,noun_adj,es-train-001-s316,es
dólar estadounidense actual,noun_adj,es-train-001-s332,es
isla deshabitado mayor,noun_adj,es-train-001-s339,es
círculo polar ártico,noun_adj,es-train-001-s339,es
sionismo genocido israelí,noun_adj,es-train-001-s359,es
capital financiero internacional,noun_adj,es-train-001-s359,es
industria petrolero mundial,noun_adj,es-train-001-s359,es
entidad política soberano,noun_adj,es-train-001-s370,es
enfoque científico definido,noun_adj,es-train-001-s377,es
complejo funerario compuesto,noun_adj,es-train-001-s378,es
cierre vocálico postónico,noun_adj,es-train-001-s422,es
junta general anual ordinaria,noun_adj,es-train-001-s477,es
horizonte intelectual amplio,noun_adj,es-train-001-s486,es
libro cristiano influyente,noun_adj,es-train-001-s491,es
color pardo anaranjado,noun_adj,es-train-002-s11,es
mandíbula superior flexible,noun_adj,es-train-002-s40,es
descripción científico relativo,noun_adj,es-train-002-s109,es
organismo autónomo dependiente,noun_adj,es-train-002-s166,es
centro comercial grande,noun_adj,es-train-002-s278,es
órgano institucional propio,noun_adj,es-train-002-s279,es
vida espiritual profundo,noun_adj,es-train-002-s303,es
nervio lateral marcado,noun_adj,es-train-002-s355,es
color verde brillante,noun_adj,es-train-002-s355,es
zona monumental capitalino,noun_adj,es-train-002-s383,es
diócesis católico romano,noun_adj,es-train-002-s470,es
red ferroviario argentino,noun_adj,es-train-002-s473,es
derecho internacional público,noun_adj,es-train-002-s480,es
carrera musical exitoso,noun_adj,es-train-002-s483,es
pequeño gran tienda,adj_noun,es-train-002-s493,es
familia católico devoto,noun_adj,es-train-003-s34,es
crecimiento económico real,noun_adj,es-train-003-s103,es
viento frío proveniente,noun_adj,es-train-003-s129,es
infantería mercenario griego,noun_adj,es-train-003-s131,es
poeta albanés conocido,noun_adj,es-train-003-s132,es
programa televisivo sindicado,noun_adj,es-train-003-s139,es
mando operacional ruso,noun_adj,es-train-003-s161,es
político comunista español,noun_adj,es-train-003-s242,es
familia real británico,noun_adj,es-train-003-s316,es
agrupación vocal latina,noun_adj,es-train-003-s323,es
sistema financiero ficticio,noun_adj,es-train-003-s358,es
extremo mal tiempo,adj_noun,es-train-003-s364,es
ciudad meridional ruso,noun_adj,es-train-003-s367,es
cultura turco islámico,noun_adj,es-train-003-s373,es
fuerza aéreo francés,noun_adj,es-train-003-s377,es
rápido eficiente conexión,adj_noun,es-train-003-s483,es
construcción romano anterior,noun_adj,es-train-003-s499,es
compañía internacional importante,noun_adj,es-train-004-s19,es
minería metálico ferroso,noun_adj,es-train-004-s39,es
belleza natural impresionante,noun_adj,es-train-004-s46,es
recurso económico adecuado,noun_adj,es-train-004-s82,es
espacio subterráneo pequeño,noun_adj,es-train-004-s104,es
grupo político chileno,noun_adj,es-train-004-s110,es
reforma migratorio integral,noun_adj,es-train-004-s149,es
dosis nocturno pequeño,noun_adj,es-train-004-s159,es
color blanco uniforme,noun_adj,es-train-004-s176,es
single exitoso igual,noun_adj,es-train-004-s193,es
pequeño gran campeón,adj_noun,es-train-004-s215,es
iglesia evangélico alemana,noun_adj,es-train-004-s233,es
mariposa diurno grande,noun_adj,es-train-004-s242,es
agua salobre perenne,noun_adj,es-train-004-s267,es
comedia musical infantil,noun_adj,es-train-004-s275,es
buchón quebrado murciano,noun_adj,es-train-004-s277,es
