phrase,order,sentence_id,language
sunni arab clan,adj_noun,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025,en
sunni arab guerrilla,adj_noun,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025,en
dominant shiite list,adj_noun,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032,en
mere past membership,adj_noun,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0034,en
last few day,adj_noun,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011,en
sudden false solidarity,adj_noun,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014,en
old new arab thing,adj_noun,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0016,en
serious nuclear disaster,adj_noun,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0001,en
many different version,adj_noun,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0002,en
soothing authoritative report,adj_noun,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007,en
significant related effect,adj_noun,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007,en
persistent negative tendency,adj_noun,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0018,en
wholesome uncontaminated food,adj_noun,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0059,en
good medical care,adj_noun,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0059,en
remaining top leadership,adj_noun,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0001,en
pakistani military president,adj_noun,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0004,en
fundamentalist religious party,adj_noun,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0007,en
provocative local force,adj_noun,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0033,en
sunni arab nationalist,adj_noun,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0035,en
local sunni radical,adj_noun,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0035,en
current hot spot,adj_noun,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0008,en
republican presidential nomination,adj_noun,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0009,en
new pakistani general,adj_noun,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0018,en
radical religious politics,adj_noun,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0031,en
radical lebanese shiite party,adj_noun,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0011,en
former iraqi military man,adj_noun,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0023,en
several major iraqi ideological group,adj_noun,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0025,en
enormous moral authority,adj_noun,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0028,en
lebanese shiite radical,adj_noun,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0031,en
such populist current,adj_noun,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0035,en
armed fundamentalist militia,adj_noun,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0036,en
aggressive near annexation,adj_noun,weblog-juancole.com_juancole_20040604210986_ENG_20040604_210986-0040,en
old civil war,adj_noun,weblog-blogspot.com_dakbangla_20041119231111_ENG_20041119_231111-0008,en
new provincial council,adj_noun,weblog-blogspot.com_dakbangla_20041119231111_ENG_20041119_231111-0025,en
top military brass,adj_noun,weblog-blogspot.com_dakbangla_20041119231111_ENG_20041119_231111-0036,en
present difficult circumstance,adj_noun,weblog-blogspot.com_dakbangla_20041119231111_ENG_20041119_231111-0039,en
own dirty work,adj_noun,weblog-blogspot.com_dakbangla_20041119231111_ENG_20041119_231111-0039,en
good neighborly help,adj_noun,weblog-blogspot.com_dakbangla_20041119231111_ENG_20041119_231111-0039,en
tiny jihadi segment,adj_noun,weblog-blogspot.com_dakbangla_20041028153019_ENG_20041028_153019-0019,en
fine young officer,adj_noun,weblog-blogspot.com_alaindewitt_20040929103700_ENG_20040929_103700-0064,en
shrill public attack,adj_noun,weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0013,en
former double agent,adj_noun,weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0014,en
oldest popular political party,adj_noun,weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0023,en
only commonsense solution,adj_noun,weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0032,en
other historical example,adj_noun,weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0035,en
alternative foreign power,adj_noun,weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0041,en
pesky skinned foreigner,adj_noun,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500-0012,en
single american reporter,adj_noun,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500-0013,en
post-chavez like puppet,adj_noun,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500-0025,en
free online service,adj_noun,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500-0077,en
beautiful new house,adj_noun,weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500-0087,en
pro-india political leader,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0003,en
former bangladeshi prime minister,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0003,en
virtual absolute monarchy,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0003,en
past few year,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0015,en
northeastern indian state,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0015,en
fake indian card,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0022,en
few technical skill,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0026,en
other unlawful activity,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0026,en
unnamed naval officer,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0029,en
huge strategic importance,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0030,en
pro-india political leader,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0035,en
former bangladeshi prime minister,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0035,en
virtual absolute monarchy,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0035,en
organized anti-india outfit,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0038,en
biggest maritime disaster,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0045,en
indian naval vessel,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0048,en
strong militant group,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0060,en
larger northern island,adj_noun,weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0070,en
new regional equation,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0007,en
central asian republic,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0009,en
better tactical cooperation,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0033,en
serious political fallout,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0037,en
major covert attempt,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0041,en
key former figure,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0044,en
tripartite military meeting,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0047,en
major regional shift,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0056,en
afghan pashtun tribe,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0074,en
fluid political situation,adj_noun,weblog-blogspot.com_dakbangla_20041016151002_ENG_20041016_151002-0076,en
various toxic substance,adj_noun,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0027,en
smart funny young woman,adj_noun,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0042,en
handsome young man,adj_noun,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0044,en
many rural county,adj_noun,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0057,en
beautiful young woman,adj_noun,weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0075,en
harshest mainstream critic,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0025,en
few good soul,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0053,en
small polygamous group,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0057,en
several southwestern community,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0060,en
other related philosophy,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0066,en
few dead soldier,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0100,en
former deep believer,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0117,en
huge international music,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0137,en
interesting spiritual territory,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0164,en
past several month,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0194,en
moral high ground,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0196,en
mere political advantage,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0206,en
early 20th century,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0210,en
more obscure information,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0233,en
kindly young man,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0250,en
entire western tradition,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0276,en
ancient egyptian god,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0279,en
hardcore political faction,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0281,en
whole other topic,adj_noun,weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0298,en
large multi-nation corporation,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0002,en
large multi-national corporation,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0005,en
own personal view,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0006,en
own immediate neighborhood,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0014,en
old arab conflict,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0016,en
arab moslem regime,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0018,en
black christian citizen,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0018,en
entire arab world,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0032,en
next wealthy part,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0035,en
decent honest good people,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0038,en
vast silent majority,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0039,en
last few year,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0042,en
few more year,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0043,en
potent psychological weapon,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0048,en
real direct impact,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0049,en
horrible severe lifelong injury,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0058,en
blooded murderous incitement,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0074,en
true fanatic religious belief,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0075,en
enough innocent people,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0082,en
numerous desperate people,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0086,en
horrible vicious weapon,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0089,en
cruel inhuman cynical terrorist,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0089,en
own affluent being,adj_noun,weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0089,en
