phrase,order,sentence_id,language
communauté juif général,noun_adj,fr-ud-train_00003,fr
autre petit fruit,adj_noun,fr-ud-train_00016,fr
eau chaud sanitaire,noun_adj,fr-ud-train_00034,fr
viatique funéraire royal,noun_adj,fr-ud-train_00061,fr
polyèdre uniforme non-convexe,noun_adj,fr-ud-train_00067,fr
aile tournant hélicoïde,noun_adj,fr-ud-train_00071,fr
tradition religieux chinois,noun_adj,fr-ud-train_00086,fr
parti communiste libanais,noun_adj,fr-ud-train_00096,fr
secrétariat général hellénique,noun_adj,fr-ud-train_00109,fr
coin supérieur gauche,noun_adj,fr-ud-train_00135,fr
école national supérieur,noun_adj,fr-ud-train_00139,fr
encadrement policier pesant,noun_adj,fr-ud-train_00145,fr
régime juridique complet,noun_adj,fr-ud-train_00146,fr
établissement public national,noun_adj,fr-ud-train_00146,fr
journal socialiste flamand,noun_adj,fr-ud-train_00148,fr
concours musical international,noun_adj,fr-ud-train_00182,fr
footballeur international australien,noun_adj,fr-ud-train_00203,fr
langue administratif unique,noun_adj,fr-ud-train_00267,fr
division administratif français,noun_adj,fr-ud-train_00285,fr
fonds monétaire international,noun_adj,fr-ud-train_00308,fr
calendrier julien proleptique,noun_adj,fr-ud-train_00344,fr
film muet britannique,noun_adj,fr-ud-train_00348,fr
commentaire public minimum,noun_adj,fr-ud-train_00366,fr
coupon promotionnel prépayé,noun_adj,fr-ud-train_00384,fr
aide financier concret,noun_adj,fr-ud-train_00410,fr
transformation social profond,noun_adj,fr-ud-train_00464,fr
organisation scout lituanien,noun_adj,fr-ud-train_00474,fr
empire colonial portugais,noun_adj,fr-ud-train_00482,fr
rame automoteur séparable,noun_adj,fr-ud-train_00483,fr
porte-parole militaire irakien,noun_adj,fr-ud-train_00497,fr
structure intercommunal français,noun_adj,fr-ud-train_00504,fr
environnement paysager agréable,noun_adj,fr-ud-train_00517,fr
territoire sahraoui occupé,noun_adj,fr-ud-train_00531,fr
groupe pétrolier français,noun_adj,fr-ud-train_00540,fr
recette final brut,noun_adj,fr-ud-train_00553,fr
système nerveux autonome,noun_adj,fr-ud-train_00558,fr
autre grand parti,adj_noun,fr-ud-train_00575,fr
style roman saintongeais,noun_adj,fr-ud-train_00625,fr
comportement individuel conforme,noun_adj,fr-ud-train_00696,fr
intervention militaire français,noun_adj,fr-ud-train_00775,fr
